Taxa,Doxorubicin,nodeColor
B. producta,0.092655248,Firmicutes
C. methylpentosum,0.002202201,Firmicutes
F. prausnitzii,3.511646934,Firmicutes
V. parvula,0.027334333,Firmicutes
E. dolichum,0.048617109,Firmicutes
