"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"23","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176822855451566,NA,NA
"24","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,1.04950232710477,NA,0.39286800799137,NA,NA,0.853315723722513,NA,NA,NA,NA,NA,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167844884314097,NA,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,13.724433176636,9.30412738564082,NA,13.724433176636,13.724433176636,NA,NA,NA,NA,NA,9.19693080805908,NA,NA,NA,NA,NA,3.67118021257294,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__",NA,NA,NA,0.0175509754929091,NA,NA,NA,NA,0.0198654340849701,NA,NA,NA,0.0178247047937042,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5910857938655,NA,NA,NA
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16959437800607,NA,NA,NA,NA,NA,2.5328851235896,NA,0.735274928514002,2.33907589597615
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__",NA,6.2194346800474,4.10652595326022,5.54922915410046,6.2194346800474,6.21943468004739,4.94680701644483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65019912456959,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,0.461657301800763,NA,NA,NA,NA,0.386878451970736,NA,NA,NA,NA,NA,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,0.305541846353794,0.195833110256963,0.261398102963515,0.305541846353794,0.305541846353793,0.231791717983841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0783888050827713,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__salivarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740982481590352,NA,NA,NA,NA,NA,NA,NA,0.487577428727453,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Pediococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345346021087032,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,0.311521157844775,0.206472334662714,NA,0.311521157844775,0.311521157844775,0.246360234992,NA,NA,NA,NA,NA,NA,NA,0.113081299798191,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__",NA,2.14968529752397,1.42284561709099,NA,2.14968529752397,2.14968529752397,1.70868579953682,NA,NA,NA,NA,NA,NA,NA,0.781853438190863,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,11.7882471602642,NA,NA,10.4552875264563,NA,NA,NA,NA,NA,NA,9.44292565248329,NA,NA,NA,3.45489282485507,NA
"38","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0973555513074756,0.535716300951782,NA,NA,NA,NA,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,0.403258721895539,NA,0.272018687574251,0.248904710253452,NA,0.275321442761007,0.137238563629612,NA,NA,0.0930194573987121,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33498770300593,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,0.106593802223937,NA,NA,NA,NA,0.0833410694739294,NA,NA,NA,NA,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.0170415220809459,NA,0.0116627917152643,NA,NA,NA,NA,NA,NA,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.0471175666882122,NA,0.0323235179775257,NA,0.0409607583433308,NA,NA,NA,NA,0.0121205680104635,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,1.29480871995009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596513579411429,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,0.348244401388277,NA,NA,NA,NA,0.406133138355755,NA,NA,NA,NA,0.246206819670734,NA,NA,NA,NA,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113872883374055,NA,NA,NA,0.0577235549735366,NA,NA,0.0415724956786089,NA
