"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"22","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,-2.16753620972083,-9.99843698564545,NA,NA,2.26223325433432,NA,-2.74377695688832,-1.978832156642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",-3.33093284332219,-3.63860098577984,NA,-12.2990529027143,NA,NA,NA,NA,NA,NA,NA,NA,2.25085750938545,NA,NA,NA,NA,NA,NA
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,19.9722752273578,NA,NA,NA,NA,-13.3931405807413,NA,NA,NA,NA,NA,-10.3168351119462,NA,NA,12.6032056476951,NA,-8.85116910522703,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.86170477159571,NA,NA,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,-8.70183865581734,NA,NA,NA,NA,NA,NA,-8.18717454734721,15.0891122368634,NA,-8.46784831418674,NA,NA,NA,NA,NA,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__casseliflavus",NA,-18.8037800506215,25.484348942748,-48.0657383018383,NA,-26.1994940670318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90189306541501,NA
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25830179081386,NA,NA,-0.0971415641808028,NA,NA,NA
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,NA,-0.128121782048862,NA,NA,NA,0.125202154198181,NA,0.160951736339631,0.154349449439301,NA,NA,NA,0.163015678618772,NA,NA,NA,-0.0531379149644767,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae",NA,NA,NA,29.3533571913963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15338925703183,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,NA,NA,NA,NA,NA,11.0434336997235,NA,NA,NA,NA,NA,NA,NA,NA,7.40469386872765,NA,NA,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57594505179236,NA,NA,NA,20.4832239570814,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",0.320800232413022,0.3928643777466,NA,1.3555313992529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.224148569658934,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__",0.23218479984648,NA,NA,NA,-0.379615018736579,-0.167158528965804,0.0695219290846429,NA,NA,NA,NA,NA,NA,NA,0.0656414197974011,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6288860001113,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75914172178685,NA,NA,2.40982748467704,NA,NA,NA,NA
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,0.101403531577989,NA,NA,NA,NA,-0.0751188202393095,NA,NA,NA,NA,0.107683262183724,NA,NA,NA,-0.0538171694375898,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141667577505503,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,0.0571758814357375,NA,NA,NA,NA,NA,NA,NA,0.286077381314666,0.122410573490346,NA,0.0129363249099053,NA,NA,NA,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.450800533350269,-0.467899636581316,NA,NA,NA,3.19739870528684,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.212295745043472,NA,NA,0.30908308194597,NA,4.78044071630516,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__",NA,NA,0.133771406243156,-0.461260685244114,NA,NA,NA,NA,NA,0.00711896489177824,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,-1.24647161924171,NA,NA,1.22524900640988,NA,NA,NA,NA,NA,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,0.479940696119349,-0.418403358703043,0.70086335069758,0.462038233657074,0.459866191069947,-0.34017721136105,0.632736398121031,NA,NA,NA,0.588355117445979,NA,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus",NA,NA,NA,NA,NA,NA,-4.73630537745403,NA,NA,3.65111844742221,NA,NA,2.3747833549064,NA,NA,-4.10492535425427,NA,-1.94772865142373,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,-0.574844756710384,NA,-0.608109150084481,NA,NA,NA,NA,NA,NA,-0.322499925311207,NA,NA,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,-1.42813929889011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
