"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"23","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__putredinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393929691322111,NA,NA
"24","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,-2.37591816793682,NA,-0.892365130454048,NA,NA,3.05900621516006,NA,NA,NA,NA,NA,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14608572930421,NA,NA,NA,NA,NA,NA
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,53.7716334546561,23.0814954840155,NA,53.7716334546561,-53.771633454656,NA,NA,NA,NA,NA,20.2049375367823,NA,NA,NA,NA,NA,-11.0248427368564,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__",NA,NA,NA,-0.0370134488518665,NA,NA,NA,NA,0.0793844529187501,NA,NA,NA,-0.0389136371162821,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3482994527271,NA,NA,NA
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.08887374991071,NA,NA,NA,NA,NA,5.25581772963907,NA,2.80571865794753,6.41114501875084
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__",NA,-21.8678371830076,-13.7202631587548,-18.7244879887784,-21.8678371830076,21.8678371830075,15.2602574110454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31663531637065,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,-1.09475423571798,NA,NA,NA,NA,-0.804012057666975,NA,NA,NA,NA,NA,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,0.649643815025786,0.684725492677318,1.05441751263674,0.649643815025786,-0.649643815025785,-0.917154639979069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223424663429508,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__salivarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93510267924958,NA,NA,NA,NA,NA,NA,NA,-1.17505313481648,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Pediococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915910268062925,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,-0.83111431829347,-0.454530997884984,NA,-0.831114318293465,0.831114318293461,0.622766337744489,NA,NA,NA,NA,NA,NA,NA,0.265158877137306,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__",NA,-5.30724441840235,-2.92785701795926,NA,-5.30724441840231,5.30724441840226,3.41243355125622,NA,NA,NA,NA,NA,NA,NA,1.54806600857536,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,31.6451050574012,NA,NA,-27.7460776593168,NA,NA,NA,NA,NA,NA,-25.8363554589499,NA,NA,NA,9.34818554646643,NA
"38","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.226411821171122,1.33521214983588,NA,NA,NA,NA,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,0.851379827454819,NA,0.748300903505263,-0.651283197222179,NA,-0.636995388188689,-0.403770079580272,NA,NA,-0.600413239440841,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.891105914186738,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,-0.247305625936533,NA,NA,NA,NA,0.422274356312078,NA,NA,NA,NA,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.052781646025066,NA,0.0338598826054516,NA,NA,NA,NA,NA,NA,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.11958527691776,NA,0.0693390926278334,NA,0.0903145030659295,NA,NA,NA,NA,-0.0354610444433038,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,3.19854775764062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.72682388993985,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,-0.774115234002512,NA,NA,NA,NA,1.10165275520278,NA,NA,NA,NA,1.9981767659006,NA,NA,NA,NA,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290636753723441,NA,NA,NA,-0.143673277797376,NA,NA,-0.0834885588545202,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__",NA,NA,NA,-0.244723123012211,NA,NA,NA,NA,0.493276873092398,NA,0.263594052548049,NA,NA,-0.167935820787059,NA,NA,NA,-0.118129619265065,NA
"49","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.841903484731225,NA
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548981190516478,NA,NA,NA,0.602669847579299,0.170901686525338,NA,NA
"51","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25985391658493,0.219822853355097,NA,NA,NA,NA,NA,NA,NA
"52","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34680175990473,NA
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0540430050132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",NA,NA,NA,NA,NA,NA,NA,-0.00885001495179738,NA,NA,-0.00556617404173838,NA,-0.00726437851365039,NA,0.00236804245326274,NA,NA,NA,NA
"55","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi",NA,2.30466190178223,NA,-2.30914580806628,2.30466190178223,-2.30466190178223,NA,2.94779604322578,4.21917327400884,-0.929689786619916,NA,-2.06491234795679,NA,3.46535464864182,NA,NA,NA,NA,NA
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,NA,NA,NA,NA,NA,NA,-0.0330250983535583,NA,NA,0.0168648394141197,NA,0.0278162012863714,0.0246434678822732,NA,NA,NA,NA,-0.0199770800276536
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111786230713077,NA,NA,NA,-0.323651960358414
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1097412272722,NA,NA,NA,NA,NA,NA,-2.6187541565683,-0.860300682233341,3.90167219759091
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.284867396933405,NA
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__longicatena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176691370357401,NA,NA,NA,NA,NA,NA,NA
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.260700992485228,NA,NA,-0.259775906212329,-0.584645538581832
