"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"26","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58372578071152,NA,NA,NA
"27","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__",NA,NA,NA,5.29423322941805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1479396765147,NA,NA,NA,NA,1.02613190117798,2.52393416699507,NA,0.658645512447694,2.33544724538244
"29","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__.__",NA,2.92614528945095,2.59287819110143,3.14076179506032,NA,6.25177722121792,3.47344016063277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4754650811677,NA
"30","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389045744065612,NA,NA,NA,NA,NA,NA
"31","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__delbrueckii",NA,NA,0.122412311298143,0.151055380608236,NA,0.293354014179747,0.162173321922314,NA,0.506293134571806,0.0769195764394469,NA,NA,NA,NA,NA,NA,NA,NA,0.0673734941369208,NA
"32","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__salivarius",NA,NA,0.807816179947613,NA,NA,NA,NA,NA,NA,NA,0.728225703595657,NA,NA,NA,NA,NA,NA,NA,0.436503865862492,NA
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__zeae",NA,NA,4.50497597123198,NA,7.3057726674706,NA,NA,5.33057346550925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Pediococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344806969596831,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__",NA,NA,NA,NA,NA,0.310663928908206,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110222660739433,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__",NA,NA,NA,NA,NA,2.14364464572849,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764240109557873,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,7.06488746888886,NA,NA,7.65396185967825,NA,20.7531762868837,NA,NA,NA,NA,NA,8.77955441861504,NA,NA,NA,NA,10.0609811226181
"38","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",NA,0.234239767437739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0957713658068905,0.545909160256241,NA,NA,NA,NA,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102769625799209,NA,0.271610389308108,0.255806393901219,NA,0.279936411173268,0.133198262682428,NA,0.111052082337818,0.0831022480588546,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,1.19957005554072,NA,1.95744729686331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.300191817144437,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,NA,NA,NA,NA,NA,NA,0.0459234508050516,NA,NA,NA,NA,NA,0.0836561751816089,NA,NA,NA,NA,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Anaerococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00363747188958014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113328687816825,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,0.0213902625891365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127557660266024,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324877309562727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__",NA,NA,NA,1.17673260037948,NA,NA,1.283604636023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2546544126018,NA,0.246959224105496,NA,NA,NA,NA,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113275273754261,NA,NA,NA,0.0566980546106317,NA,NA,NA,NA
"49","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.181238605859602,NA,NA,0.0726972929418402,0.070517426874671,NA,0.0765494911321337,0.0371144963902665,NA,NA,0.024518892879858,NA
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256986388645931,NA
"51","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148391964243105,NA,NA,NA,0.151958573323889,NA,NA,NA
"52","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107502076307017,0.101045667791754,NA,NA,NA,NA,NA,NA,0.124123451538322
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436143069166363,NA
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__",NA,NA,NA,NA,NA,3.55095826569208,NA,NA,NA,NA,NA,NA,2.59886730835531,NA,NA,NA,NA,NA,NA,NA
"55","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80200763238521,NA,NA,NA,NA,1.64259271679153,NA,NA,NA,NA
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",NA,NA,NA,NA,NA,NA,NA,0.00148650953672099,NA,NA,NA,0.00225212038233157,NA,0.00287779633842444,NA,NA,NA,NA,NA,NA
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi",NA,NA,NA,0.563448079332589,NA,1.06970529356811,NA,NA,NA,0.289095948877714,0.421809646671008,NA,0.710683231073263,NA,0.761269528580255,NA,NA,NA,NA,NA
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,NA,NA,NA,NA,NA,NA,0.00541287005836232,NA,NA,NA,NA,NA,0.0104475526193462,0.00818116977531778,NA,NA,NA,NA,0.00940389910913639
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum",NA,0.10157040844027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0470995362014428,NA,NA,NA,0.107233536433689
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,NA,0.861004710865009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361298715743087,0.298050297195119,1.03284229359138
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847576088320268,NA,NA,NA,NA,NA,0.114852463505105,NA,NA,0.0732119192676464,NA
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__longicatena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0735241354804807,NA,NA,NA,NA,0.0215025100742842,0.0260677272561661,NA
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105635032456723,NA,NA,0.0741477497807856,0.24331633384702
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181339199464746,NA,NA,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107439790195582,NA,NA,NA,NA,NA,NA,NA,NA,0.0950392397140298,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.888975914925168,NA,NA,NA,0.451183227752083,NA,NA,0.305023697389253,NA
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547641402853707,NA,0.926927751988069,NA,0.911461998822959,NA,NA,NA,0.328406970277459,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110239319257934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,NA,NA,2.59052680696209,NA,5.26865836620496,2.8531571753283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59569331115462,NA,NA,NA,NA,NA,NA,NA,NA,1.19379663142788
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,NA,NA,NA,NA,NA,NA,0.0522091670840178,NA,NA,NA,NA,0.07080128132827,0.0978812619322074,NA,NA,NA,0.0308995136949133,NA,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0331602780896361,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00359193413950132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714459071271946,NA,NA,NA,NA,NA,0.906556397677788,NA,NA,0.624406008221145,2.0937911820386
"75","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis",1.19815588459082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485341607895133,NA,NA,NA,0.248457053078692,NA,NA,0.167409316652452,NA
"76","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,0.68397937659285,NA,NA,NA,0.981906695585086,NA,NA,NA,0.483955121225904,NA,0.398556974587007,0.312484883099616,NA
"77","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,0.32185783565868,NA,NA,NA,NA,NA,0.163434078783375,NA,0.423089870581142,0.407556133850155,NA,NA,0.211087411386274,NA,0.171584269237019,0.139533446951764,NA
"78","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636751492519616,NA,NA,0.334114666085638,NA,NA,0.222951092589243,NA
"79","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus.s__",NA,NA,NA,NA,0.0224481685731095,NA,0.0187510992154893,NA,NA,NA,NA,NA,0.211077352754801,NA,NA,NA,NA,NA,NA,NA
"80","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0495695781949877,NA
"81","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megasphaera.s__",NA,2.70135941998674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00582382039145234,NA
"83","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__dispar",NA,NA,0.846343035125585,NA,NA,NA,NA,0.975320842814019,NA,NA,NA,1.41683963008856,NA,1.79546121969381,NA,NA,NA,NA,NA,NA
"84","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",NA,NA,NA,NA,NA,NA,NA,NA,0.897734828786753,0.261568175953664,0.206960752523446,NA,NA,NA,NA,0.182106496346266,NA,0.146265753772476,NA,NA
"85","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,3.13108121551114,2.79841518002669,3.41283697813313,4.55645808835442,6.9272452962878,3.7481910873907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141265899822219,0.194388207922917,0.150183973260304,NA,NA,NA,NA,NA
"87","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium.s__spiroforme",NA,NA,NA,NA,NA,1.7419194735324,NA,NA,NA,0.451772716392453,NA,NA,NA,NA,NA,NA,NA,0.503038456147281,0.405624867389096,NA
"88","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328632278553411,NA,NA,NA,NA,NA,NA,NA
"89","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__",NA,3.43155722556727,3.12438162210425,3.67488407916466,NA,NA,NA,3.70485007769404,NA,NA,NA,0.0494351086277434,NA,0.0631464656578606,NA,NA,NA,NA,NA,NA
"90","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133636649548668,NA,0.327217047291612,0.33361200565735,NA,NA,NA,NA,0.13915125896615,NA,NA
"91","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09813918130623,NA,NA,NA,NA
"92","Unassigned.__.__.__.__.__.__",NA,0.0543535206440492,NA,0.0582165449740722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00876665487222868,NA,NA,NA,0.0177836804352461
