ID,g,f,o,c,p
g__Blautia,g__Blautia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
B. obeum,g__Blautia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
B. producta,g__Blautia,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Lachnospiraceae1,g__8,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Lachnospiraceae2,g__9,f__Lachnospiraceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Anaerofustis,g__Anaerofustis,f__Eubacteriaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__SMB53,g__SMB53,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
C. celatum,g__Clostridium5,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
C. paraputrificum,g__Clostridium5,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Clostridium1,g__Clostridium5,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Clostridium2,g__Clostridium5,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Clostridiaceae,g__aa,f__Clostridiaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
f__Christensenellaceae,g__bb,f__Christensenellaceae,o__Clostridiales,c__Clostridia,p__Firmicutes
o__Clostridiales1,g__cc,f__1,o__Clostridiales,c__Clostridia,p__Firmicutes
o__Clostridiales2,g__dd,f__2,o__Clostridiales,c__Clostridia,p__Firmicutes
g__Turicibacter,g__Turicibacter,f__Turicibacteraceae,o__Turicibacterales,c__Bacilli,p__Firmicutes
g__Streptococcus1,g__Streptococcus,f__Streptococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
S. infantis,g__Streptococcus,f__Streptococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Streptococcus2,g__Streptococcus,f__Streptococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Lactococcus,g__Lactococcus,f__Streptococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Pediococcus,g__Pediococcus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Lactobacillus1,g__Lactobacillus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Lactobacillus2,g__Lactobacillus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
L. delbrueckii,g__Lactobacillus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
L. zeae,g__Lactobacillus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
L. salivarius,g__Lactobacillus,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
f__Lactobacillaceae,g__ee,f__Lactobacillaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Enterococcus1,g__Enterococcus,f__Enterococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Enterococcus2,g__Enterococcus,f__Enterococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
E. casseliflavus,g__Enterococcus,f__Enterococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
f__Enterococcaceae,g__ff,f__Enterococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Granulicatella,g__Granulicatella,f__Carnobacteriaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
o__Lactobacillales,g__gg,f__3,o__Lactobacillales,c__Bacilli,p__Firmicutes
g__Staphylococcus,g__Staphylococcus,f__Staphylococcaceae,o__Bacillales,c__Bacilli,p__Firmicutes
g__Methanobrevibacter,g__Methanobrevibacter,f__Methanobacteriaceae,o__Methanobacteriales,c__Methanobacteria,p__Euryarchaeota
o__Streptophyta,g__hh,f__4,o__Streptophyta,c__Chloroplast,p__Cyanobacteria
A. finegoldii,g__Alistipes,f__Rikenellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
A. indistinctus,g__Alistipes,f__Rikenellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
A. onderdonkii,g__Alistipes,f__Rikenellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
A. putredinis,g__Alistipes,f__Rikenellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
f__Rikenellaceae,g__ii,f__Rikenellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
g__Prevotella,g__Prevotella,f__Prevotellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
P. copri,g__Prevotella,f__Prevotellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
g__Parabacteroides,g__Parabacteroides,f__Porphyromonadaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
P. distasonis,g__Parabacteroides,f__Porphyromonadaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
g__Odoribacter,g__Odoribacter,f__Odoribacteraceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
f__Barnesiellaceae,g__jj,f__Barnesiellaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
g__Bacteroides1,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
g__Bacteroides2,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
B. caccae,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
B. fragilis,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
B. ovatus,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
B. uniformis,g__Bacteroides,f__Bacteroidaceae,o__Bacteroidales,c__Bacteroidia,p__Bacteroidetes
E. lenta,g__Eggerthella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteria
C. aerofaciens,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteria
g__Atopobium,g__Atopobium,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteria
f__Coriobacteriaceae,g__kk,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteria
g__Scardovia,g__Scardovia,f__Bifidobacteriaceae,o__Bifidobacteriales,c__Actinobacteria,p__Actinobacteria
g__Bifidobacterium1,g__Bifidobacterium,f__Bifidobacteriaceae,o__Bifidobacteriales,c__Actinobacteria,p__Actinobacteria
g__Bifidobacterium2,g__Bifidobacterium,f__Bifidobacteriaceae,o__Bifidobacteriales,c__Actinobacteria,p__Actinobacteria
B. longum,g__Bifidobacterium,f__Bifidobacteriaceae,o__Bifidobacteriales,c__Actinobacteria,p__Actinobacteria
R. mucilaginosa,g__Rothia,f__Micrococcaceae,o__Actinomycetales,c__Actinobacteria,p__Actinobacteria
R. dentocariosa,g__Rothia,f__Micrococcaceae,o__Actinomycetales,c__Actinobacteria,p__Actinobacteria
g__Corynebacterium,g__Corynebacterium,f__Corynebacteriaceae,o__Actinomycetales,c__Actinobacteria,p__Actinobacteria
g__Actinomyces,g__Actinomyces,f__Actinomycetaceae,o__Actinomycetales,c__Actinobacteria,p__Actinobacteria
k__Bacteria,g__ll,f__5,o__1,c1,p__1
Unassigned,g__mm,f__6,o__2,c2,p__2
